The Verifiable Claims Problem Statement is accurate,The Goals proposed by the Verifiable Claims work are good goals to pursue,The Scope of Work and Deliverables would help address the Problem Statement,My organizations verifiable claims problems would be addressed if the use cases in the Use Cases document were addressed,My organization would participate in the following way if a Verifiable Claims Working Group were to materialize at W3C,"If your organization would NOT participate, what changes would we have to make to the draft charter to change your mind?",Is there any other input that you have on the Verifiable Claims Draft Charter?
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,We are a W3C member and WOULD participate,,Verifiable Claims is critical for our involvement with W3C (is the major reason why we joined last week).
Strongly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Strongly Agree,It's complicated,,
Mostly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,depends on who hires me. If just myself then would perform periodic reviews,dependent on client,Need some way to express the confidence associated with the verification - level of assurance
Mostly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Mostly Agree,We are a W3C member and WOULD participate,,
Mostly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Neutral,Would participate if I have capacity,,
Strongly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Strongly Agree,Vitalsource is an active IDPF member and intends to be actively involved in new work in W3C that is EPUB-related.,,All input that I have has been previously incorporated into the documents.
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Strongly Agree,We are a W3C member and WOULD participate,,
Mostly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Disagree,We are a W3C member but WOULD NOT participate,,"
Pleas reconsider the word 'rich' in goal three. In my interpretation, from a user perspective the verifiable claim should not be 'rich' but 'just enough' to prove what needs to be proven. E.g. prove of age over 18 to by wine, the claim doesn't need to provide age, name, gender, whatever, but only the hash/prove (not to be manipulated) of 'over 18'. I believe it should be 'appropriate' or 'tailor made' for the purpose it serves."
Strongly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Strongly Agree,We are a W3C member and WOULD participate,,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,We are Member and I would have to check with the 160 research teams of Inria if one of them at least has the bandwidth to participate.,,insist on the ability for claims issuers to controle who can request a claim; insist on the objective to rely as much as possible on existing W3C standards (eg for data models)
